ls_swe "scaffold" "marker_nr" "position" "male_position"
ls_swe "4" 1145 1321910 3.073
ls_swe "4" 1157 2490112 4.191
ls_swe "4" 1160 2592562 4.191
ls_swe "4" 1162 2713052 4.746
ls_swe "4" 1166 2978103 4.746
ls_swe "4" 1170 2996497 4.746
ls_swe "4" 1176 3562901 6.432
ls_swe "4" 1180 3654630 6.432
ls_swe "4" 1189 4056375 7.549
ls_swe "4" 1195 4700985 9.235
ls_swe "4" 1198 4740194 9.235
ls_swe "4" 1199 4765090 10.352
ls_swe "4" 1204 5394890 13.73
ls_swe "4" 1211 5708191 14.285
ls_swe "4" 1216 5887607 15.403
ls_swe "4" 1220 6129606 15.403
ls_swe "4" 1225 6357351 15.958
ls_swe "4" 1227 6411824 15.958
ls_swe "4" 1230 7183205 17.069
ls_swe "4" 1233 7400130 17.625
ls_swe "4" 1235 7759483 21.65
ls_swe "4" 1243 7873391 21.65
ls_swe "4" 1248 8193806 25.675
ls_swe "4" 1256 9014160 27.91
ls_swe "4" 1257 9568875 30.752
ls_swe "4" 1259 9569267 31.869
ls_swe "4" 1266 9695989 31.869
ls_swe "4" 1274 9904041 32.425
ls_swe "4" 1278 9912367 32.425
ls_swe "4" 1291 10282549 32.425
ls_swe "4" 1296 10767343 32.425
ls_swe "4" 1301 10903395 32.425
ls_swe "4" 1305 11031340 32.98
ls_swe "4" 1308 11663389 32.98
ls_swe "4" 1309 12035070 36.41
ls_swe "4" 1315 12382327 36.41
ls_swe "4" 1319 12583114 36.966
ls_swe "4" 1328 12955880 38.638
ls_swe "4" 1329 13233178 40.899
ls_swe "4" 1335 13238964 40.899
ls_swe "4" 1339 13438387 40.899
ls_swe "4" 1340 14089427 40.899
ls_swe "4" 1344 14536093 42.572
ls_swe "4" 1346 14582487 42.572
ls_swe "4" 1351 14728075 42.572
ls_swe "4" 1357 14842887 43.127
ls_swe "4" 1360 15048328 47.152
ls_swe "4" 1362 15067514 47.152
ls_swe "4" 1365 15651548 48.838
ls_swe "4" 1375 16448047 50.511
ls_swe "4" 1380 16612889 51.066
ls_swe "4" 1388 17514667 51.622
ls_swe "4" 1394 17635345 52.178
ls_swe "4" 1400 17925091 52.733
ls_swe "4" 1405 18209548 54.993
ls_swe "4" 1414 18864906 56.111
ls_swe "4" 1420 19376841 56.666
ls_swe "4" 1421 19577717 56.666
ls_swe "4" 1426 19690035 57.222
ls_swe "4" 1433 19974437 58.333
ls_swe "4" 1442 20403330 58.333
ls_swe "4" 1448 20902019 58.333
ls_swe "4" 1449 20902339 58.333
ls_swe "4" 1453 21203483 59.45
ls_swe "4" 1459 23062732 59.45
ls_swe "4" 1476 24147595 59.45
ls_swe "4" 1478 24197063 59.45
ls_swe "4" 1482 24428938 59.45
ls_swe "4" 1488 24671822 59.45
ls_swe "4" 1489 24759169 59.45
ls_swe "4" 1503 25701341 59.45
ls_swe "4" 1505 25743801 64.583
ls_swe "4" 1508 25805330 64.583
ls_swe "4" 1511 26087094 64.583
ls_swe "4" 1518 26267929 64.583
ls_swe "13" 3966 295255 0
ls_swe "13" 3969 396632 0
ls_swe "13" 3972 427193 0
ls_swe "13" 3973 427517 0
ls_swe "13" 3974 658565 0
ls_swe "13" 3984 681433 0
ls_swe "13" 3986 715858 1.212
ls_swe "13" 3987 928051 1.212
ls_swe "13" 3989 1180606 1.212
ls_swe "13" 3996 1746766 1.815
ls_swe "13" 4016 2166005 1.815
ls_swe "13" 4023 2333927 3.5
ls_swe "13" 4025 2532804 3.5
ls_swe "13" 4029 2624273 3.5
ls_swe "13" 4039 2686373 5.173
ls_swe "13" 4043 3094344 5.173
ls_swe "13" 4046 3764937 6.29
ls_swe "13" 4052 3808660 6.29
ls_swe "13" 4053 3814231 10.918
ls_swe "13" 4057 3867784 13.159
ls_swe "13" 4060 4339711 15.419
ls_swe "13" 4064 4701986 15.975
ls_swe "13" 4069 4707698 16.531
ls_swe "13" 4079 4990432 17.086
ls_swe "13" 4081 5072363 17.086
ls_swe "13" 4086 5595605 18.772
ls_swe "13" 4088 5776267 19.327
ls_swe "13" 4090 5830702 19.327
ls_swe "13" 4096 5933519 21.587
ls_swe "13" 4104 6887114 27.442
ls_swe "13" 4111 7058410 30.872
ls_swe "13" 4112 7567892 32.558
ls_swe "13" 4115 8170421 34.818
ls_swe "13" 4131 8172207 36.491
ls_swe "13" 4133 8196145 37.608
ls_swe "13" 4136 9032117 38.164
ls_swe "13" 4137 9108646 38.164
ls_swe "13" 4138 9183439 38.164
ls_swe "13" 4139 9424175 41.005
ls_swe "13" 4145 9503104 41.005
ls_swe "13" 4149 9805933 41.561
ls_swe "13" 4159 10784664 44.991
ls_swe "13" 4166 11249414 44.991
ls_swe "13" 4168 11633547 50.228
ls_swe "13" 4185 12786228 51.914
ls_swe "13" 4188 12965488 54.174
ls_swe "13" 4194 13324915 54.73
ls_swe "13" 4201 13412340 55.285
ls_swe "13" 4202 13723436 55.841
ls_swe "13" 4204 13723752 55.841
ls_swe "13" 4209 13749330 56.952
ls_swe "13" 4211 13826678 58.069
ls_swe "13" 4229 14085272 58.625
ls_swe "13" 4236 14270737 60.31
ls_swe "13" 4240 14495091 64.335
ls_swe "13" 4242 15125650 64.335
ls_swe "13" 4247 15223256 64.335
ls_swe "13" 4248 15358770 64.335
ls_swe "13" 4250 15418870 64.891
ls_swe "13" 4252 15666148 64.891
ls_swe "13" 4258 16539089 65.447
ls_swe "13" 4262 16714183 65.447
ls_swe "13" 4265 17104172 66.002
ls_swe "13" 4269 17202010 66.558
ls_swe "13" 4274 17339797 67.675
ls_swe "13" 4277 17881630 68.792
ls_swe "13" 4278 17974595 68.792
ls_swe "13" 4280 18059555 68.792
ls_swe "13" 4290 18806976 68.792
ls_swe "13" 4292 18971511 69.45
ls_swe "13" 4296 19462524 69.45
ls_swe "13" 4299 19662785 69.45
ls_swe "13" 4302 19734143 69.45
ls_swe "13" 4316 20038551 69.45
ls_swe "13" 4318 20524189 69.45
ls_swe "13" 4320 20685094 69.45
ls_swe "2" 266 50702 0
ls_swe "2" 268 102162 0
ls_swe "2" 273 253804 0
ls_swe "2" 275 503152 0
ls_swe "2" 277 529414 0
ls_swe "2" 279 914663 0
ls_swe "2" 280 1299466 0
ls_swe "2" 281 1299831 0.556
ls_swe "2" 287 1448969 0.556
ls_swe "2" 288 1487884 0.556
ls_swe "2" 289 1522216 0.556
ls_swe "2" 292 1575127 0.556
ls_swe "2" 294 2084982 1.111
ls_swe "2" 297 2273190 2.797
ls_swe "2" 301 2379117 2.797
ls_swe "2" 305 2579172 3.352
ls_swe "2" 310 3007012 3.908
ls_swe "2" 316 3337790 4.463
ls_swe "2" 326 4425089 5.019
ls_swe "2" 328 4951883 6.13
ls_swe "2" 331 5740494 7.247
ls_swe "2" 340 6233775 7.247
ls_swe "2" 342 6284067 8.365
ls_swe "2" 343 6644947 8.365
ls_swe "2" 355 6946817 9.482
ls_swe "2" 367 7652661 11.717
ls_swe "2" 372 7774097 12.834
ls_swe "2" 376 9147686 15.095
ls_swe "2" 379 9287836 15.095
ls_swe "2" 380 9353948 16.212
ls_swe "2" 382 9726028 16.767
ls_swe "2" 387 10023664 17.323
ls_swe "2" 390 10110232 17.323
ls_swe "2" 392 10138497 17.879
ls_swe "2" 397 10183501 17.879
ls_swe "2" 399 10192946 20.72
ls_swe "2" 407 10341194 21.276
ls_swe "2" 409 10439149 21.276
ls_swe "2" 410 10653521 21.831
ls_swe "2" 418 11640974 22.387
ls_swe "2" 433 11818524 22.387
ls_swe "2" 439 11967963 23.498
ls_swe "2" 442 11976545 23.498
ls_swe "2" 453 12196716 23.498
ls_swe "2" 466 12250696 23.498
ls_swe "2" 469 12255371 23.498
ls_swe "2" 470 12339409 23.498
ls_swe "2" 472 12383287 23.498
ls_swe "2" 477 12692860 23.498
ls_swe "2" 488 12756535 23.498
ls_swe "2" 489 12804294 24.615
ls_swe "2" 492 13008085 24.615
ls_swe "2" 495 13021882 24.615
ls_swe "2" 499 13080154 24.615
ls_swe "2" 500 13124724 24.615
ls_swe "2" 503 13223056 25.171
ls_swe "2" 505 13350744 25.727
ls_swe "2" 506 13801375 27.412
ls_swe "2" 510 14040791 27.412
ls_swe "2" 516 14431486 27.968
ls_swe "2" 519 14447088 27.968
ls_swe "2" 525 14610547 29.085
ls_swe "2" 529 14816190 29.641
ls_swe "2" 531 15049160 29.641
ls_swe "2" 533 15562913 32.482
ls_swe "2" 536 15867095 37.72
ls_swe "2" 551 16284657 40.561
ls_swe "2" 555 16344988 42.802
ls_swe "2" 556 16417247 44.488
ls_swe "2" 560 17312219 47.918
ls_swe "2" 564 18251997 47.918
ls_swe "2" 566 18768220 47.918
ls_swe "2" 571 19595224 47.918
ls_swe "2" 572 19676760 50.178
ls_swe "2" 574 19864748 50.734
ls_swe "2" 579 20637640 50.734
ls_swe "2" 584 20904392 51.289
ls_swe "2" 587 21209453 54.719
ls_swe "2" 592 21667972 54.719
ls_swe "2" 594 21834994 54.719
ls_swe "2" 598 22566152 54.719
ls_swe "2" 601 22656407 55.837
ls_swe "2" 603 22893364 55.837
ls_swe "2" 617 22943189 56.392
ls_swe "2" 628 22957021 59.789
ls_swe "2" 631 23029020 59.789
ls_swe "2" 633 23497749 59.789
ls_swe "2" 637 23603869 63.219
ls_swe "2" 642 25250088 63.775
ls_swe "2" 643 25307637 64.33
ls_swe "2" 650 25811183 68.289
ls_swe "2" 664 27283656 69.975
ls_swe "2" 667 27317949 69.975
ls_swe "2" 669 27439534 69.975
ls_swe "2" 672 27489216 69.975
ls_swe "2" 676 28502617 69.975
ls_swe "2" 679 28508573 71.092
ls_swe "2" 684 28564923 71.648
ls_swe "2" 689 28969975 72.203
ls_swe "2" 691 29007175 72.203
ls_swe "2" 695 29227283 72.203
ls_swe "2" 697 29440881 72.203
ls_swe "2" 702 29949356 72.759
ls_swe "2" 706 30040177 73.315
ls_swe "2" 707 30153896 73.315
ls_swe "2" 710 30437400 73.315
ls_swe "2" 715 30767361 73.315
ls_swe "2" 721 30785631 73.315
ls_swe "2" 724 31167270 74.128
ls_swe "2" 730 31692063 74.128
ls_swe "2" 737 32232041 74.128
ls_swe "11" 3324 393182 0
ls_swe "11" 3325 471850 0
ls_swe "11" 3326 596532 0
ls_swe "11" 3330 770544 0
ls_swe "11" 3336 1056990 0
ls_swe "11" 3342 1406209 0
ls_swe "11" 3347 1676483 0
ls_swe "11" 3350 1693871 0.658
ls_swe "11" 3354 1735564 0.658
ls_swe "11" 3357 1919324 0.658
ls_swe "11" 3361 2929894 1.316
ls_swe "11" 3362 2955334 1.316
ls_swe "11" 3363 3045350 1.316
ls_swe "11" 3373 3065870 3.576
ls_swe "11" 3376 3239867 4.693
ls_swe "11" 3378 3364417 9.321
ls_swe "11" 3381 3455741 9.877
ls_swe "11" 3383 3766131 9.877
ls_swe "11" 3385 4442003 11.562
ls_swe "11" 3389 5656513 13.248
ls_swe "11" 3392 5873945 13.248
ls_swe "11" 3393 6383716 15.508
ls_swe "11" 3397 6665133 15.508
ls_swe "11" 3404 6785798 15.508
ls_swe "11" 3407 6946404 15.508
ls_swe "11" 3420 7722393 21.206
ls_swe "11" 3424 7803281 22.323
ls_swe "11" 3428 7862539 22.879
ls_swe "11" 3432 8559818 38.286
ls_swe "11" 3434 8728942 38.842
ls_swe "11" 3436 8972065 38.842
ls_swe "11" 3438 9212296 38.842
ls_swe "11" 3441 9502024 38.842
ls_swe "11" 3444 9989562 38.842
ls_swe "11" 3452 11240152 39.397
ls_swe "11" 3460 11946779 40.515
ls_swe "11" 3463 12311487 41.632
ls_swe "11" 3467 12367682 41.632
ls_swe "11" 3490 12801444 41.632
ls_swe "11" 3492 13119346 42.188
ls_swe "11" 3501 13216066 42.188
ls_swe "11" 3504 13365271 43.305
ls_swe "11" 3506 13564890 43.305
ls_swe "11" 3512 13703082 43.861
ls_swe "11" 3518 14536426 44.978
ls_swe "11" 3527 15278713 44.978
ls_swe "11" 3531 15738369 46.095
ls_swe "11" 3533 15981589 46.651
ls_swe "11" 3536 16236674 46.651
ls_swe "11" 3539 16290080 46.651
ls_swe "11" 3542 16845671 46.651
ls_swe "11" 3547 16892374 48.324
ls_swe "11" 3555 17447281 48.879
ls_swe "11" 3556 17935191 49.997
ls_swe "11" 3559 17998882 51.682
ls_swe "11" 3562 18159282 52.8
ls_swe "11" 3567 18270267 52.8
ls_swe "11" 3568 18931725 54.485
ls_swe "11" 3572 19634995 55.041
ls_swe "11" 3573 20134230 55.596
ls_swe "11" 3581 20513737 55.596
ls_swe "11" 3584 21316276 55.596
ls_swe "11" 3586 21316607 55.596
ls_swe "11" 3588 21333984 55.596
ls_swe "11" 3591 21389170 55.596
ls_swe "11" 3594 21494349 55.596
ls_swe "11" 3596 21734699 55.596
ls_swe "11" 3599 22266874 55.596
ls_swe "11" 3601 22275893 55.596
ls_swe "12" 3603 9763 0
ls_swe "12" 3608 25336 0
ls_swe "12" 3613 55185 1.667
ls_swe "12" 3620 333926 3.667
ls_swe "12" 3621 714831 3.667
ls_swe "12" 3624 831036 3.667
ls_swe "12" 3632 1005267 3.667
ls_swe "12" 3634 1047650 3.667
ls_swe "12" 3638 1681602 3.667
ls_swe "12" 3639 1681906 3.667
ls_swe "12" 3642 1997789 4.223
ls_swe "12" 3652 2002146 4.223
ls_swe "12" 3655 2331465 4.223
ls_swe "12" 3657 2353177 4.223
ls_swe "12" 3662 2407184 4.778
ls_swe "12" 3666 2450714 4.778
ls_swe "12" 3670 2818803 7.038
ls_swe "12" 3673 3037929 10.436
ls_swe "12" 3675 3199084 10.436
ls_swe "12" 3682 3645587 10.436
ls_swe "12" 3687 3973760 10.991
ls_swe "12" 3697 4072448 13.807
ls_swe "12" 3700 4494884 13.807
ls_swe "12" 3709 4925915 13.807
ls_swe "12" 3714 5947086 14.363
ls_swe "12" 3718 5998384 14.918
ls_swe "12" 3735 6144647 26.699
ls_swe "12" 3737 7075543 27.816
ls_swe "12" 3744 7459104 27.816
ls_swe "12" 3754 8780381 28.372
ls_swe "12" 3761 8789971 28.927
ls_swe "12" 3763 9006972 31.188
ls_swe "12" 3767 9184534 32.861
ls_swe "12" 3770 9227481 32.861
ls_swe "12" 3771 9911202 33.416
ls_swe "12" 3775 10882765 33.416
ls_swe "12" 3778 10905049 33.972
ls_swe "12" 3780 10994985 33.972
ls_swe "12" 3784 10996135 36.232
ls_swe "12" 3785 11143272 36.232
ls_swe "12" 3791 11148864 37.917
ls_swe "12" 3792 11203445 37.917
ls_swe "12" 3797 11374831 39.603
ls_swe "12" 3800 11376447 41.863
ls_swe "12" 3802 11462772 41.863
ls_swe "12" 3804 11936287 41.863
ls_swe "12" 3810 12382410 42.419
ls_swe "12" 3814 12698918 42.974
ls_swe "12" 3816 13453219 43.53
ls_swe "12" 3818 13473898 43.53
ls_swe "12" 3823 13493723 43.53
ls_swe "12" 3824 13553153 45.216
ls_swe "12" 3826 13680542 45.216
ls_swe "12" 3833 14192965 46.901
ls_swe "12" 3835 14372040 48.587
ls_swe "12" 3856 14512317 52.612
ls_swe "12" 3858 14523744 53.167
ls_swe "12" 3860 14646479 53.167
ls_swe "12" 3866 15453668 53.167
ls_swe "12" 3870 16839405 54.285
ls_swe "12" 3873 16964361 55.402
ls_swe "12" 3874 17017829 55.402
ls_swe "12" 3879 17165529 55.402
ls_swe "12" 3880 17306645 55.958
ls_swe "12" 3887 17502700 58.799
ls_swe "12" 3888 17516508 59.355
ls_swe "12" 3889 17530445 59.355
ls_swe "12" 3895 17847228 60.472
ls_swe "12" 3898 18117014 63.902
ls_swe "12" 3901 18602932 63.902
ls_swe "12" 3911 19278452 65.013
ls_swe "12" 3915 19303938 66.124
ls_swe "12" 3920 19457027 66.68
ls_swe "12" 3923 19472365 66.68
ls_swe "12" 3927 19904520 66.68
ls_swe "12" 3933 20096951 67.236
ls_swe "12" 3943 20189837 67.236
ls_swe "12" 3944 20579126 67.236
ls_swe "12" 3953 20757883 67.236
ls_swe "12" 3958 21671431 67.236
ls_swe "12" 3959 21724482 67.236
ls_swe "9" 2711 198615 0
ls_swe "9" 2713 487922 4.415
ls_swe "9" 2716 495919 4.415
ls_swe "9" 2718 1662962 6.605
ls_swe "9" 2727 2308480 6.605
ls_swe "9" 2739 2605603 6.605
ls_swe "9" 2745 3611640 7.16
ls_swe "9" 2751 4921772 7.16
ls_swe "9" 2760 5237624 8.846
ls_swe "9" 2764 5302124 8.846
ls_swe "9" 2765 5424570 10.531
ls_swe "9" 2769 6218494 13.373
ls_swe "9" 2771 6218998 13.373
ls_swe "9" 2772 6485961 15.633
ls_swe "9" 2781 7339655 15.633
ls_swe "9" 2787 7455663 17.868
ls_swe "9" 2789 7730319 20.71
ls_swe "9" 2790 7823014 20.71
ls_swe "9" 2796 8523932 23.551
ls_swe "9" 2799 9069630 28.179
ls_swe "9" 2801 10836743 31.021
ls_swe "9" 2813 11154975 31.576
ls_swe "9" 2816 11317805 35.006
ls_swe "9" 2821 13025657 42.119
ls_swe "9" 2827 14759574 42.119
ls_swe "9" 2830 15530571 42.119
ls_swe "9" 2837 15988505 43.236
ls_swe "9" 2841 16027313 43.236
ls_swe "9" 2843 16173370 43.236
ls_swe "9" 2846 16367599 44.353
ls_swe "9" 2847 16958550 45.471
ls_swe "9" 2850 17207984 46.026
ls_swe "9" 2854 17420309 46.026
ls_swe "9" 2858 17432854 46.026
ls_swe "9" 2864 17552062 50.654
ls_swe "9" 2866 17595294 50.654
ls_swe "9" 2869 17786542 50.654
ls_swe "9" 2870 18072580 51.21
ls_swe "9" 2875 18524871 52.327
ls_swe "9" 2883 18587370 54.587
ls_swe "9" 2888 19246217 61.067
ls_swe "9" 2898 19694544 61.622
ls_swe "9" 2907 20155132 61.622
ls_swe "9" 2914 20184578 62.74
ls_swe "9" 2928 20601350 63.857
ls_swe "9" 2929 20601661 63.857
ls_swe "9" 2932 20658461 63.857
ls_swe "9" 2935 21112012 64.974
ls_swe "9" 2936 21495497 65.53
ls_swe "9" 2940 21716701 65.53
ls_swe "9" 2947 23274590 66.086
ls_swe "9" 2949 23538173 66.086
ls_swe "9" 2952 24176945 66.086
ls_swe "9" 2959 24271078 66.086
ls_swe "9" 2967 24641448 66.086
ls_swe "9" 2975 24683913 66.086
ls_swe "9" 2978 24739400 66.086
ls_swe "10" 2979 314067 0
ls_swe "10" 2980 351620 0
ls_swe "10" 2981 412042 0
ls_swe "10" 2985 782156 0
ls_swe "10" 2988 829738 0
ls_swe "10" 2991 972605 0
ls_swe "10" 2995 1089043 0
ls_swe "10" 3012 1142852 0
ls_swe "10" 3015 1533918 2.816
ls_swe "10" 3021 2159950 3.933
ls_swe "10" 3036 2437393 3.933
ls_swe "10" 3042 2699731 3.933
ls_swe "10" 3045 2710650 4.489
ls_swe "10" 3047 2724135 4.489
ls_swe "10" 3050 2753154 5.044
ls_swe "10" 3052 2802481 5.044
ls_swe "10" 3069 3258799 5.044
ls_swe "10" 3071 3448558 6.162
ls_swe "10" 3072 3586326 7.279
ls_swe "10" 3075 3646138 7.835
ls_swe "10" 3076 3953569 7.835
ls_swe "10" 3081 4156960 7.835
ls_swe "10" 3083 4392721 7.835
ls_swe "10" 3085 4448595 8.952
ls_swe "10" 3094 5606702 15.432
ls_swe "10" 3096 5736546 15.432
ls_swe "10" 3100 5736893 20.669
ls_swe "10" 3105 6132220 20.669
ls_swe "10" 3106 6227080 21.786
ls_swe "10" 3110 6505368 28.072
ls_swe "10" 3112 6603002 28.072
ls_swe "10" 3121 7795562 28.072
ls_swe "10" 3125 8021027 30.913
ls_swe "10" 3129 8033404 31.469
ls_swe "10" 3134 8382253 33.729
ls_swe "10" 3136 9334735 37.159
ls_swe "10" 3137 9347786 37.159
ls_swe "10" 3146 10171530 38.277
ls_swe "10" 3149 10343493 38.832
ls_swe "10" 3151 10836173 38.832
ls_swe "10" 3156 11170193 39.949
ls_swe "10" 3161 11273710 39.949
ls_swe "10" 3162 11763112 39.949
ls_swe "10" 3168 11872825 43.935
ls_swe "10" 3172 12535658 44.491
ls_swe "10" 3173 13570776 47.332
ls_swe "10" 3179 13571093 47.332
ls_swe "10" 3180 13883196 47.332
ls_swe "10" 3181 14279613 47.888
ls_swe "10" 3188 14304470 49.573
ls_swe "10" 3193 14355444 50.129
ls_swe "10" 3199 15046735 50.129
ls_swe "10" 3201 15413602 50.129
ls_swe "10" 3203 15854842 50.684
ls_swe "10" 3216 16050035 53.5
ls_swe "10" 3218 16351006 54.618
ls_swe "10" 3219 16351328 54.618
ls_swe "10" 3222 16517076 54.618
ls_swe "10" 3223 16648551 54.618
ls_swe "10" 3225 16729166 55.735
ls_swe "10" 3230 17028005 55.735
ls_swe "10" 3232 17413044 56.291
ls_swe "10" 3236 17574018 56.846
ls_swe "10" 3240 17957691 56.846
ls_swe "10" 3243 18511238 57.963
ls_swe "10" 3250 18671089 59.649
ls_swe "10" 3253 18702392 59.649
ls_swe "10" 3254 18758704 59.649
ls_swe "10" 3255 18810058 59.649
ls_swe "10" 3260 19003322 59.649
ls_swe "10" 3262 19222074 60.205
ls_swe "10" 3271 19448991 61.89
ls_swe "10" 3272 19552284 61.89
ls_swe "10" 3275 19748984 61.89
ls_swe "10" 3277 19767818 61.89
ls_swe "10" 3280 19776055 62.446
ls_swe "10" 3290 19947208 62.446
ls_swe "10" 3294 20409743 64.131
ls_swe "10" 3299 20442080 65.249
ls_swe "10" 3300 20611538 65.249
ls_swe "10" 3303 20778493 67.509
ls_swe "10" 3306 21590033 68.064
ls_swe "10" 3309 21795415 68.064
ls_swe "10" 3311 22540637 68.62
ls_swe "10" 3316 23033659 69.176
ls_swe "10" 3317 23161255 69.176
ls_swe "10" 3318 23460682 69.176
ls_swe "10" 3319 23654162 69.176
ls_swe "24" 6891 507766 0
ls_swe "24" 6894 508348 0
ls_swe "24" 6903 958807 0
ls_swe "24" 6905 974276 0
ls_swe "24" 6912 1186751 1.087
