cat	EBR_start_cat	EBR_end_cat	EBR_length_cat	swe	EBR_start_swe	EBR_end_swe	EBR_length_swe	Strand	Q-len	Q-start	Q-stop	T-len	T-start	T-stop	anc_chr_unit	type		EBR_cat_start	EBR_cat_end
cat_15	0	12572064	12572064	swe_15	7901823	20771620	12869797	-	12572064	384	12572058	20771620	7193308	20771618	36	fi_spa		0	12572064
cat_31	0	9029877	9029877	swe_16	0	9386000	9386000	-	9029877	771	9029875	20354528	90279	17559266	37	unknown		0	9029877
cat_24	0	10731864	10731864	swe_16	9459000	20354528	10895528	+	10731864	3579	10722033	20354528	395660	20194349	38	unknown		0	10731864
cat_32	0	8993086	8993086	swe_17	0	9080121	9080121	-	8993086	11148	8993085	19406976	9	17705636	39	BR/ILS_juv/spa		0	8993086
cat_26	0	10371112	10371112	swe_17	9132668	19406976	10274308	-	10371112	0	10371109	19406976	9264	19403339	40	BR/ILS_juv/spa		0	10371112
cat_4	0	17858888	17858888	swe_18	0	17773115	17773115	-	17858888	5	17845192	17773115	34	17773108	41	Z		0	17858888
cat_34	0	8852937	8852937	swe_19	0	8395606	8395606	+	8852937	19425	8852929	16601477	7	11492103	42	fi_spa		0	8852937
cat_38	0	8072367	8072367	swe_19	8511083	16601477	8090394	-	8072367	7038	8072288	16601477	8396384	16580008	43	fi_spa		0	8072367
cat_36	5412761	8226895	2814134	swe_20	0	2688566	2688566	-	8226895	6927	8222458	16307044	1	8295322	44	fu_anc_sin		5412761	8226895
cat_36	0	5378637	5378637	swe_20	2764311	8331409	5567098								45	fu_anc_sin		0	5378637
cat_41	0	7717807	7717807	swe_20	8435200	16307044	7871844	-	7717807	20	7717807	16307044	886418	16302611	46	BR/ILS_juv/spa		0	7717807
cat_35	0	8510491	8510491	swe_21	0	8652705	8652705	+	8510491	1828	8510432	16244046	1	14816029	47	BR/ILS_juv/spa		0	8510491
cat_44	0	7462649	7462649	swe_21	8795742	16244046	7448304	+	7462649	1	7435666	16244046	2776293	16243989	48	BR/ILS_juv/spa		0	7462649
cat_49	0	6622542	6622542	swe_22	0	6778134	6778134	+	6622542	3	6622539	15785361	14523	13946107	49	BR/ILS_juv/spa		0	6622542
cat_33	0	8858058	8858058	swe_22	7224739	15785361	8560622	+	8858058	8204	8858049	15785361	934401	15782820	50	BR/ILS_juv/spa		0	8858058
cat_5	0	7316288	7316288	swe_23	0	7391940	7391940	+	14857515	17860	12330510	14824030	19194	14685395	51	fu_swe		0	7316288
cat_45	0	7189000	7189000	swe_23	7454671	14824030	7369359	+	7189000	8	7189000	14824030	5359682	14822354	52	fu_swe		0	7189000
cat_8	0	14171155	14171155	swe_24	0	13684430	13684430	+	14171155	205342	14126925	13684430	21	13684425	53	hom		0	14171155
cat_52	0	6108349	6108349	swe_25	0	6247358	6247358	-	6108349	5724	6084907	13471441	20960	11870960	54	BR/ILS_juv/spa		0	6108349
cat_48	0	6777714	6777714	swe_25	6568674	13471441	6902767	+	6777714	72395	6777709	13471441	490876	13468926	55	BR/ILS_juv/spa		0	6777714
cat_25	0	3051855	3051855	swe_26	0	3051855	3051855								58	BR/ILS_juv/spa		0	3051855
cat_25	3118204	7008000	3889796	swe_26	3118204	7141561	4023357								59	BR/ILS_juv/spa		3118204	7008000
cat_51	0	5204110	5204110	swe_26	7537599	12537843	5000244	+	6505794	1469	5185136	12537843	95535	12537841	56	fu_spa		0	5204110
cat_11	0	12904538	12904538	swe_27	0	12376488	12376488	-	12904538	82	12358425	12376488	9	12373017	60	hom		0	12904538
cat_20	0	11863123	11863123	swe_28	0	11658327	11658327	-	11863123	87616	11863122	11658327	17247	11634198	61	hom		0	11863123
cat_22	0	10971242	10971242	swe_29	0	11165203	11165203	+	10971242	926	10961209	11165203	50531	11165197	62	hom		0	10971242
