map set loess loess_sd map_length median sc chr_length chr_start rate markers marker_density chr_type
66 13 ls_swe 3.85643835616438 2.82541804668059 69.45 3.08 HiC_scaffold_13 21.837515 323185536 3.18030691678975 75 3.43445671359585 Autosome
67 14 ls_swe 4.8456862745098 4.18201207788881 56.889 4.08 HiC_scaffold_14 21.002338 345023051 2.70869843157462 53 2.52352857096196 Autosome
68 15 ls_swe 4.14619047619048 2.83132730105763 57.956 3.34 HiC_scaffold_15 20.77162 366025389 2.79015310312821 65 3.12926964772127 Autosome
69 16 ls_swe 4.6406976744186 3.28263859849478 59.775 3.47 HiC_scaffold_16 20.354528 386797009 2.93669300511414 45 2.21081029243223 Autosome
70 17 ls_swe 2.72515151515152 2.0940510921871 44.058 2.46 HiC_scaffold_17 19.406976 407151537 2.27021458675478 68 3.50389468199476 Autosome
71 18 ls_swe 4.08058823529412 2.50103365440441 52.449 4.155 HiC_scaffold_18 17.773115 426558513 2.95103024990273 36 2.02553125887049 Z
72 19 ls_swe 6.35150943396226 4.82468707483725 54.271 5.72 HiC_scaffold_19 16.601477 444331628 3.26904648303281 55 3.31295823859528 Autosome
73 20 ls_swe 4.6104 3.65906308962794 51.816 4.135 HiC_scaffold_20 16.307044 460933105 3.17752254792469 52 3.18880601536367 Autosome
74 21 ls_swe 4.04371428571429 2.02587538916809 42.302 4.11 HiC_scaffold_21 16.244046 477240149 2.60415416208499 37 2.27775764732506 Autosome
75 22 ls_swe 3.56589743589744 2.81533555815168 49.818 3.44 HiC_scaffold_22 15.785361 493484195 3.15596203343085 41 2.5973431966491 Autosome
76 23 ls_swe 4.56481481481481 2.65409316741341 57.341 4.82 HiC_scaffold_23 14.82403 509269556 3.86811143798279 29 1.95628314297799 Autosome
77 24 ls_swe 5.73382978723404 4.78946060010551 59.45 5.42 HiC_scaffold_24 13.68443 524093586 4.34435340017816 49 3.58071180166072 Autosome
78 25 ls_swe 2.92219512195122 1.88339920382685 32.834 2.5 HiC_scaffold_25 13.471441 537778016 2.43730422009049 43 3.19193767021657 Autosome
79 26 ls_swe 5.31083333333333 3.33712376687785 50.931 5.8 HiC_scaffold_26 12.537843 551249457 4.06218198776297 50 3.98792679091611 Autosome
80 27 ls_swe 5.286 3.75096955887127 42.676 3.755 HiC_scaffold_27 12.376488 563787300 3.44815104252515 22 1.77756403916846 Autosome
81 28 ls_swe 5.61541666666667 3.43573291866609 47.725 4.6 HiC_scaffold_28 11.658327 576163788 4.09364053693124 26 2.23016561467181 Autosome
82 29 ls_swe 6.215 3.90530639002883 35.696 4.635 HiC_scaffold_29 11.165203 587822115 3.19707577193178 28 2.50779139438844 Autosome
