map set loess loess_sd map_length sc chr_length chr_start rate markers marker_density chr_type
45 45 ls_cat 6.03173913043478 3.04217573482878 34.043 HiC_scaffold_45 7.189 531528216 4.73542912783419 25 3.47753512310474 Autosome
46 46 ls_cat 7.71181818181818 6.14130948992821 38.182 HiC_scaffold_46 7.07133 538717216 5.39955001392949 24 3.39398670405709 Autosome
47 47 ls_cat 9.07260869565217 8.1781795136878 35.677 HiC_scaffold_47 6.8105 545788546 5.23852874238308 25 3.67080243741282 Autosome
48 48 ls_cat 6.73681818181818 7.68754241884612 40.215 HiC_scaffold_48 6.777714 552599046 5.93341648821417 24 3.54101692694617 Autosome
49 49 ls_cat 1.77111111111111 2.30273448558689 13.372 HiC_scaffold_49 6.622542 559376760 2.01916424237098 11 1.66099361846252 Autosome
50 50 ls_cat 7.6852 6.54566976455937 29.798 HiC_scaffold_50 6.563399 565999302 4.54002567876797 27 4.11372217352625 Autosome
51 51 ls_cat 3.137 2.67617492369655 10.094 HiC_scaffold_51 6.505794 572562701 1.55154005798524 12 1.84450967860341 Autosome
52 52 ls_cat 7.37166666666667 3.82415380167307 35.728 HiC_scaffold_52 6.108349 579068495 5.8490436613887 32 5.23873144772835 Autosome
53 53 ls_cat 4.9912 4.42919981486498 28.248 HiC_scaffold_5 6.777863 585176844 4.16768530139957 27 3.98355646905227 Autosome
54 1 ls_swe 3.19823529411765 1.16715106796513 83.856 HiC_scaffold_1 34.455698 0 2.43373389214173 70 2.03159430988744 Z
55 2 ls_swe 2.2545871559633 1.27277586117763 74.128 HiC_scaffold_2 32.844224 34455698 2.25695696144321 111 3.3795896654462 Autosome
56 3 ls_swe 3.22328767123288 1.50680406342044 73.764 HiC_scaffold_3 30.544165 67299922 2.41499481161132 75 2.45546080568907 Autosome
57 4 ls_swe 2.72 1.00017806633797 64.583 HiC_scaffold_4 27.422032 97844087 2.35515004869078 76 2.77149410371923 Autosome
58 5 ls_swe 2.93337662337662 0.936695774896792 74.662 HiC_scaffold_5 27.208799 125266119 2.74403879421506 79 2.90347251269709 Autosome
59 6 ls_swe 2.99982456140351 1.37363242539635 77.787 HiC_scaffold_6 26.593402 152474918 2.92504885234315 59 2.21859542453425 Z
60 7 ls_swe 2.81390243902439 1.69166566764981 72.769 HiC_scaffold_7 25.418471 179068320 2.86283938951324 84 3.30468343276824 Autosome
61 8 ls_swe 2.59614285714286 1.09782036076649 65.866 HiC_scaffold_8 25.271786 204486791 2.6063057039182 72 2.84902697419169 Autosome
62 9 ls_swe 3.15450980392157 1.67346504442189 66.086 HiC_scaffold_9 24.821562 229758577 2.66244324188784 53 2.13524032049232 Autosome
63 10 ls_swe 2.94388235294118 1.35840338187858 69.176 HiC_scaffold_10 23.696351 254580139 2.91926803413741 87 3.67145135552727 Autosome
64 11 ls_swe 3.25678571428571 2.42595144007674 55.596 HiC_scaffold_11 22.599691 278276490 2.46003363497315 58 2.56640677078284 Autosome
65 12 ls_swe 3.23705128205128 1.40606026821594 67.236 HiC_scaffold_12 22.309355 300876181 3.01380295396259 80 3.58593962039691 Autosome
66 13 ls_swe 3.31602739726027 1.96472484624723 69.45 HiC_scaffold_13 21.837515 323185536 3.18030691678975 75 3.43445671359585 Autosome
67 14 ls_swe 3.90452830188679 2.48234269471225 56.889 HiC_scaffold_14 21.002338 345023051 2.70869843157462 55 2.6187560642058 Autosome
68 15 ls_swe 3.33984126984127 1.41347260783789 57.956 HiC_scaffold_15 20.77162 366025389 2.79015310312821 65 3.12926964772127 Autosome
69 16 ls_swe 4.0546511627907 2.52929441397362 59.775 HiC_scaffold_16 20.354528 386797009 2.93669300511414 45 2.21081029243223 Autosome
70 17 ls_swe 2.85415384615385 1.58170980696888 44.058 HiC_scaffold_17 19.406976 407151537 2.27021458675478 67 3.45236681902425 Autosome
71 18 ls_swe 3.48588235294118 2.2088638484278 52.449 HiC_scaffold_18 17.773115 426558513 2.95103024990273 36 2.02553125887049 Z
72 19 ls_swe 4.83759259259259 2.53642590256238 54.271 HiC_scaffold_19 16.601477 444331628 3.26904648303281 56 3.37319384293337 Autosome
73 20 ls_swe 3.42055555555556 2.1679043151156 51.816 HiC_scaffold_20 16.307044 460933105 3.17752254792469 56 3.43409878577626 Autosome
74 21 ls_swe 3.53513513513513 1.77695373168931 42.302 HiC_scaffold_21 16.244046 477240149 2.60415416208499 39 2.4008796823156 Autosome
75 22 ls_swe 3.93324324324324 2.42395229836413 49.818 HiC_scaffold_22 15.785361 493484195 3.15596203343085 39 2.47064352851987 Autosome
76 23 ls_swe 4.56481481481481 2.65409316741341 57.341 HiC_scaffold_23 14.82403 509269556 3.86811143798279 29 1.95628314297799 Autosome
77 24 ls_swe 6.09090909090909 4.17086283983934 59.45 HiC_scaffold_24 13.68443 524093586 4.34435340017816 46 3.36148454849782 Autosome
78 25 ls_swe 2.62772727272727 1.77107228541614 32.834 HiC_scaffold_25 13.471441 537778016 2.43730422009049 46 3.41463099604563 Autosome
79 26 ls_swe 5.01765957446808 2.71125369105204 50.931 HiC_scaffold_26 12.537843 551249457 4.06218198776297 49 3.90816825509779 Autosome
80 27 ls_swe 5.78947368421053 4.1503111980833 42.676 HiC_scaffold_27 12.376488 563787300 3.44815104252515 21 1.69676567375171 Autosome
81 28 ls_swe 6.13954545454545 4.23185592210493 47.725 HiC_scaffold_28 11.658327 576163788 4.09364053693124 24 2.05861441354321 Autosome
82 29 ls_swe 5.8936 3.18746749003029 35.696 HiC_scaffold_29 11.165203 587822115 3.19707577193178 27 2.41822741601742 Autosome
