"pop" "chromosome" "0_fold" "4_fold" "intergenic" "intron" "pnps"
"21" "cat" "HiC_scaffold_21" 0.00201600905748256 0.010320267106948 0.0100803841725069 0.00965078539134724 0.195344658872764
"22" "cat" "HiC_scaffold_22" 0.00180587836722383 0.0100540578719411 0.00877604298666579 0.00900023723429462 0.179616866167409
"23" "cat" "HiC_scaffold_23" 0.00153917962963149 0.0100484941512588 0.0100462762364889 0.00966505088759306 0.153175153058995
"24" "cat" "HiC_scaffold_24" 0.00203207049172819 0.00996803580608131 0.00880257523758403 0.00861246694725652 0.20385866696912
"25" "cat" "HiC_scaffold_25" 0.00166753132423333 0.0074395606805606 0.00727014069904311 0.00737464897761584 0.224143789644804
"26" "cat" "HiC_scaffold_26" 0.00222293424121086 0.0107393592996181 0.0119117822369349 0.0101292183497558 0.206989465497249
"27" "cat" "HiC_scaffold_27" 0.00196068954652392 0.0102372577813905 0.0098498729249349 0.00913743759377856 0.191524877891431
"28" "cat" "HiC_scaffold_28" 0.00177368041773558 0.00967176296348554 0.00947475091674375 0.00965014827462111 0.183387498683733
"29" "cat" "HiC_scaffold_29" 0.0017598219825219 0.0125829030392664 0.0103135150973248 0.0107530860071833 0.139858185112782
"30" "cat" "HiC_scaffold_30" 0.00211307886367601 0.0105667896728648 0.00982634230157008 0.0100509355336118 0.19997358981246
"31" "cat" "HiC_scaffold_31" 0.00278632695260971 0.0106848551941521 0.00919890056815655 0.00966916068629156 0.260773487518549
"32" "cat" "HiC_scaffold_32" 0.00210721283737205 0.0105487865456481 0.00972233421868165 0.0100091548843194 0.199758790099072
"33" "cat" "HiC_scaffold_33" 0.00228851648212409 0.0111225721945928 0.0101605433082676 0.0101117843335876 0.205754248395586
"34" "cat" "HiC_scaffold_34" 0.00193430366952359 0.00925628149386899 0.00972093706496244 0.00895134671596017 0.208972001424632
"35" "cat" "HiC_scaffold_35" 0.00173554917264251 0.00899915890665064 0.0087488161004098 0.00873480466234492 0.192856820359054
"36" "cat" "HiC_scaffold_36" 0.00161872859430458 0.00967677509253292 0.00902738875940648 0.0084846439871331 0.167279757855866
"37" "cat" "HiC_scaffold_37" 0.00161751430294211 0.00921677265058392 0.00993763673562876 0.00908399562925629 0.175496821313004
"38" "cat" "HiC_scaffold_38" 0.0018374890144104 0.00796831647385243 0.00887072657560819 0.00778462949786598 0.230599402074455
"39" "cat" "HiC_scaffold_39" 0.0018451205268114 0.0111005704817545 0.0099122387297856 0.00965567565688408 0.166218531727189
"40" "cat" "HiC_scaffold_40" 0.00273009554584946 0.0108215624066484 0.0109111691296587 0.00970110866365446 0.252282936904951
"41" "cat" "HiC_scaffold_41" 0.00217781118258873 0.010475089415669 0.00848828712956783 0.00895777287044933 0.207903827468153
"42" "cat" "HiC_scaffold_42" 0.00199159356130901 0.00888864123036753 0.00919230472354858 0.00925209696958598 0.224060518328139
"43" "cat" "HiC_scaffold_43" 0.00167261922572748 0.00869636769019834 0.00856175057047332 0.00838331034176472 0.192335384762156
"44" "cat" "HiC_scaffold_44" 0.00191996629044353 0.00859774700895839 0.00927170601783777 0.00848611440086163 0.223310396135525
"45" "cat" "HiC_scaffold_45" 0.00207799230048662 0.0115871469833968 0.00971560318245369 0.0109732597343365 0.179335974892195
"46" "cat" "HiC_scaffold_46" 0.00200852766766619 0.00984970972077253 0.0100320580436517 0.00956626350679648 0.203917447783289
"47" "cat" "HiC_scaffold_47" 0.00219135610223518 0.0110167846808911 0.0100535149848529 0.0100864669645727 0.19891067727194
"48" "cat" "HiC_scaffold_48" 0.00178165136001422 0.00793984505703671 0.00943763420872323 0.00811263871003863 0.224393718922163
"49" "cat" "HiC_scaffold_49" 0.00197932482474206 0.0102465871883843 0.0092907696896554 0.00838955757721225 0.193169178025036
"50" "cat" "HiC_scaffold_50" 0.00221112394962015 0.00932852512121231 0.00849274993285922 0.00886769032405565 0.237028246254302
"51" "cat" "HiC_scaffold_51" 0.00229678370015477 0.0107597297927188 0.00828800921036561 0.0083222171417462 0.213461094693012
"52" "cat" "HiC_scaffold_52" 0.00193389904496533 0.00950670187667362 0.00963777601022648 0.00975763634956912 0.20342481231167
"53" "swe" "HiC_scaffold_1" 0.000912483564896729 0.00432602030510512 0.00501249632896982 0.00481662325941968 0.210929098927231
"54" "swe" "HiC_scaffold_2" 0.00169297631518137 0.00821939105147021 0.0086321442551544 0.00819338522972338 0.205973447981715
"55" "swe" "HiC_scaffold_3" 0.00156108691136405 0.00920642293145777 0.00878916020312244 0.00872646645840284 0.169564979035442
"56" "swe" "HiC_scaffold_4" 0.001666044804698 0.0087988676728485 0.00806659502918481 0.00828154456432635 0.189347637291907
"57" "swe" "HiC_scaffold_5" 0.00164217834501393 0.00827183204339577 0.00841517819442838 0.00840518423601662 0.198526558131103
"58" "swe" "HiC_scaffold_6" 0.00181464286111728 0.00577911790106076 0.00540079990032262 0.00544921686825935 0.313999972345988
"59" "swe" "HiC_scaffold_7" 0.0016912624581657 0.00838508828836475 0.0089717736288114 0.00883883211589193 0.201698825343619
"60" "swe" "HiC_scaffold_8" 0.0016232996872627 0.00852244751739757 0.00868275529352527 0.00848033117456233 0.190473415523994
"61" "swe" "HiC_scaffold_9" 0.00172130459922241 0.00955436770188878 0.00891719260870222 0.00852098429431347 0.180158923429557
"62" "swe" "HiC_scaffold_10" 0.00148662482579903 0.00829570244053456 0.00837958834128641 0.00809556920272163 0.179204212838573
"63" "swe" "HiC_scaffold_11" 0.00167828476864643 0.00889228768827911 0.00831501094895998 0.00829880827432027 0.188734870876768
"64" "swe" "HiC_scaffold_12" 0.00157046473976082 0.00786673269739165 0.00829776574307883 0.00826946913784631 0.199633672602291
"65" "swe" "HiC_scaffold_13" 0.00172008845647611 0.00816185984847362 0.00838331850153135 0.0082725821363872 0.210747119946907
"66" "swe" "HiC_scaffold_14" 0.00179454272707591 0.00846016908052883 0.0084315727075404 0.00840225834157146 0.212116650387764
"67" "swe" "HiC_scaffold_15" 0.00169376055024266 0.00866081587722942 0.00824381284932106 0.00844632713387619 0.195565934463035
"68" "swe" "HiC_scaffold_16" 0.00180531985216799 0.00892816347303315 0.00797104396167002 0.00798429778286162 0.202205062398423
"69" "swe" "HiC_scaffold_17" 0.00173389805458335 0.0091015046596068 0.00906555877681199 0.00890813550924168 0.190506747997233
"70" "swe" "HiC_scaffold_18" 0.00134096951974692 0.0055835137894684 0.00597035396160935 0.00604429368145661 0.24016588304595
"71" "swe" "HiC_scaffold_19" 0.00153023599030342 0.00886112283506038 0.0083775991632402 0.00819053065334912 0.172690980453269
"72" "swe" "HiC_scaffold_20" 0.0015843687517852 0.00835625840022627 0.00777668164428922 0.00812388693480675 0.189602651797161
"73" "swe" "HiC_scaffold_21" 0.00146883242517224 0.00814260437364362 0.00798018038585286 0.00771514506522585 0.180388528997753
"74" "swe" "HiC_scaffold_22" 0.00179825772485367 0.00920027749673106 0.00914718646771011 0.00889390935080617 0.195456900674203
"75" "swe" "HiC_scaffold_23" 0.00168878164370095 0.0101984829958911 0.00862420761832958 0.00933189845880797 0.165591455550923
"76" "swe" "HiC_scaffold_24" 0.00189004760388915 0.00890241768920093 0.00972950449028897 0.00868348008226956 0.212307225955245
"77" "swe" "HiC_scaffold_25" 0.00190498491661537 0.00857703208480167 0.00786431273619513 0.00807591894485528 0.222103041912478
"78" "swe" "HiC_scaffold_26" 0.00166949999071755 0.00867681386240577 0.00757917168213093 0.00788032678405561 0.192409335637708
"79" "swe" "HiC_scaffold_27" 0.00170819765026552 0.00942574176244872 0.00899499964589131 0.00957126239319668 0.181226867159762
"80" "swe" "HiC_scaffold_28" 0.00159018998365809 0.00885390368486281 0.00815413770645631 0.00845701071174008 0.179603262047765
"81" "swe" "HiC_scaffold_29" 0.00149370417871103 0.00895434478730721 0.00830263486406052 0.00855501050430483 0.166813341924063
