"pop" "chrom" "phys_assembly" "gen_assembly" "gen_dist" "phys_dist" "rrate"
"LSSPA" "HiC_scaffold_2" 5391864 7.035 0 115391 0
"LSSPA" "HiC_scaffold_2" 5469920 7.6 0.56 78056 7.174
"LSSPA" "HiC_scaffold_2" 5854961 9.315 1.71 385041 4.441
"LSSPA" "HiC_scaffold_2" 6109175 11.029 1.71 254214 6.727
"LSSPA" "HiC_scaffold_2" 6323635 13.894 2.87 214460 13.382
"LSSPA" "HiC_scaffold_2" 6507264 16.193 2.3 183629 12.525
"LSSPA" "HiC_scaffold_2" 6882980 17.323 1.13 375716 3.008
"LSSPA" "HiC_scaffold_2" 7437927 19.037 1.71 554947 3.081
"LSSPA" "HiC_scaffold_2" 7479293 20.752 1.71 41366 41.338
"LSSPA" "HiC_scaffold_2" 7496863 21.888 1.14 17570 64.883
"LSSPA" "HiC_scaffold_2" 8368909 24.187 2.3 872046 2.637
"LSSPA" "HiC_scaffold_2" 8617706 24.752 0.56 248797 2.251
"LSSPA" "HiC_scaffold_2" 9058668 25.317 0.57 440962 1.293
"LSSPA" "HiC_scaffold_2" 9164911 26.454 1.14 106243 10.73
"LSSPA" "HiC_scaffold_2" 9618690 27.59 1.14 453779 2.512
"LSSPA" "HiC_scaffold_2" 9714790 28.726 1.14 96100 11.863
"LSSPA" "HiC_scaffold_2" 10005979 28.726 0 291189 0
"LSSPA" "HiC_scaffold_2" 10092333 29.291 0.57 86354 6.601
"LSSPA" "HiC_scaffold_2" 10825815 30.428 1.14 733482 1.554
"LSSPA" "HiC_scaffold_2" 10948472 30.993 0.56 122657 4.566
"LSSPA" "HiC_scaffold_2" 11437500 35.702 4.71 489028 9.631
"LSSPA" "HiC_scaffold_2" 11523592 37.417 1.72 86092 19.979
"LSSPA" "HiC_scaffold_2" 11761302 37.417 0 237710 0
"LSSPA" "HiC_scaffold_2" 12007948 37.417 0 246646 0
"LSSPA" "HiC_scaffold_2" 12687180 37.982 0.56 679232 0.824
"LSSPA" "HiC_scaffold_2" 12804941 37.982 0 117761 0
"LSSPA" "HiC_scaffold_2" 12932815 39.118 1.14 127874 8.915
"LSSPA" "HiC_scaffold_2" 12958559 39.118 0 25744 0
"LSSPA" "HiC_scaffold_2" 13183001 39.118 0 224442 0
"LSSPA" "HiC_scaffold_2" 13613514 39.683 0.56 430513 1.301
"LSSPA" "HiC_scaffold_2" 14431555 41.962 2.28 818041 2.787
"LSSPA" "HiC_scaffold_2" 14912025 41.962 0 480470 0
"LSSPA" "HiC_scaffold_2" 14991257 42.527 0.56 79232 7.068
"LSSPA" "HiC_scaffold_2" 16397318 44.827 2.3 1406061 1.636
"LSSPA" "HiC_scaffold_2" 16398614 44.827 0 1296 0
"LSSPA" "HiC_scaffold_2" 16471269 45.963 1.14 72655 15.691
"LSSPA" "HiC_scaffold_2" 16508220 45.963 0 36951 0
"LSSPA" "HiC_scaffold_2" 16533821 46.528 0.56 25601 21.874
"LSSPA" "HiC_scaffold_2" 16585136 46.528 0 51315 0
"LSSPA" "HiC_scaffold_2" 17282799 47.093 0.57 697663 0.817
"LSSPA" "HiC_scaffold_2" 17806390 47.093 0 523591 0
"LSSPA" "HiC_scaffold_2" 18254731 48.229 1.14 448341 2.543
"LSSPA" "HiC_scaffold_2" 18281126 48.229 0 26395 0
"LSSPA" "HiC_scaffold_2" 18303897 48.794 0.56 22771 24.593
"LSSPA" "HiC_scaffold_2" 19191007 48.794 0 887110 0
"LSSPA" "HiC_scaffold_2" 19216833 48.794 0 25826 0
"LSSPA" "HiC_scaffold_2" 19471622 49.924 1.13 254789 4.435
"LSSPA" "HiC_scaffold_2" 19747351 49.924 0 275729 0
"LSSPA" "HiC_scaffold_2" 19805512 49.924 0 58161 0
"LSSPA" "HiC_scaffold_2" 20129430 49.924 0 323918 0
"LSSPA" "HiC_scaffold_2" 20444627 49.924 0 315197 0
"LSSPA" "HiC_scaffold_2" 20576048 51.061 1.14 131421 8.674
"LSSPA" "HiC_scaffold_2" 20580946 51.061 0 4898 0
"LSSPA" "HiC_scaffold_2" 20613202 51.061 0 32256 0
"LSSPA" "HiC_scaffold_2" 20634533 51.626 0.56 21331 26.253
"LSSPA" "HiC_scaffold_2" 20635090 51.626 0 557 0
"LSSPA" "HiC_scaffold_2" 20784692 51.626 0 149602 0
"LSSPA" "HiC_scaffold_2" 20840871 52.191 0.57 56179 10.146
"LSSPA" "HiC_scaffold_2" 20849960 52.756 0.56 9089 61.613
"LSSPA" "HiC_scaffold_2" 20880035 52.756 0 30075 0
"LSSPA" "HiC_scaffold_2" 21164063 55.035 2.28 284028 8.027
"LSSPA" "HiC_scaffold_2" 21175042 55.035 0 10979 0
"LSSPA" "HiC_scaffold_2" 21513487 55.035 0 338445 0
"LSSPA" "HiC_scaffold_2" 21629234 56.172 1.14 115747 9.849
"LSSPA" "HiC_scaffold_2" 22182029 56.172 0 552795 0
"LSSPA" "HiC_scaffold_2" 22431483 57.308 1.14 249454 4.57
"LSSPA" "HiC_scaffold_2" 22571260 57.308 0 139777 0
"LSSPA" "HiC_scaffold_2" 22590872 57.873 0.56 19612 28.554
"LSSPA" "HiC_scaffold_2" 22688383 57.873 0 97511 0
"LSSPA" "HiC_scaffold_2" 22688704 57.873 0 321 0
"LSSPA" "HiC_scaffold_2" 22698463 59.009 1.14 9759 116.815
"LSSPA" "HiC_scaffold_2" 22872669 60.146 1.14 174206 6.544
"LSSPA" "HiC_scaffold_2" 22917983 60.146 0 45314 0
"LSSPA" "HiC_scaffold_2" 23253693 61.282 1.14 335710 3.396
"LSSPA" "HiC_scaffold_2" 23507725 61.282 0 254032 0
"LSSPA" "HiC_scaffold_2" 23690908 64.173 2.89 183183 15.777
"LSSPA" "HiC_scaffold_2" 24129621 64.738 0.56 438713 1.276
"LSSPA" "HiC_scaffold_2" 24784087 65.875 1.14 654466 1.742
"LSSPA" "HiC_scaffold_2" 25042558 65.875 0 258471 0
"LSSPA" "HiC_scaffold_2" 25116882 65.875 0 74324 0
"LSSPA" "HiC_scaffold_2" 25165244 65.875 0 48362 0
"LSSPA" "HiC_scaffold_2" 25899330 69.31 3.44 734086 4.686
"LSSPA" "HiC_scaffold_2" 26197870 69.31 0 298540 0
"LSSPA" "HiC_scaffold_2" 26305644 69.875 0.56 107774 5.196
"LSSPA" "HiC_scaffold_2" 26332677 71.012 1.14 27033 42.171
"LSSPA" "HiC_scaffold_2" 26567389 71.577 0.56 234712 2.386
"LSSPA" "HiC_scaffold_2" 26756922 71.577 0 189533 0
"LSSPA" "HiC_scaffold_2" 26985911 72.707 1.13 228989 4.935
"LSSPA" "HiC_scaffold_2" 27092847 72.707 0 106936 0
"LSSPA" "HiC_scaffold_2" 28158256 74.408 1.7 1065409 1.596
"LSSPA" "HiC_scaffold_2" 28351443 74.973 0.56 193187 2.899
"LSSPA" "HiC_scaffold_2" 29725934 75.538 0.56 1374491 0.407
"LSSPA" "HiC_scaffold_2" 29774807 76.674 1.14 48873 23.326
"LSSPA" "HiC_scaffold_2" 29919895 76.674 0 145088 0
"LSSPA" "HiC_scaffold_2" 30026177 76.674 0 106282 0
"LSSPA" "HiC_scaffold_2" 30383920 78.389 1.71 357743 4.78
"LSSPA" "HiC_scaffold_2" 30598075 78.389 0 214155 0
"LSSPA" "HiC_scaffold_2" 31233226 78.389 0 635151 0
"LSSPA" "HiC_scaffold_2" 31267355 78.389 0 34129 0
"LSSPA" "HiC_scaffold_2" 31855631 78.389 0 588276 0
"LSSPA" "HiC_scaffold_2" 32213163 78.389 0 357532 0
"LSSPA" "HiC_scaffold_2" 32235374 78.389 0 22211 0
"LSSPA" "HiC_scaffold_2" 32455985 78.389 0 220611 0
"LSSPA" "HiC_scaffold_2" 32603562 79.108 0.72 147577 4.879
"LSSPA" "HiC_scaffold_2" 32626034 79.108 0 22472 0
"LSSPA" "HiC_scaffold_2" 32690582 79.108 0 64548 0
"LSSPA" "HiC_scaffold_3" 792473 0 NA NA NA
"LSSPA" "HiC_scaffold_3" 3144675 0 0 2352202 0
"LSSPA" "HiC_scaffold_3" 3385334 1.701 1.7 240659 7.064
"LSSPA" "HiC_scaffold_3" 3806930 3.416 1.71 421596 4.056
"LSSPA" "HiC_scaffold_3" 3876230 3.981 0.56 69300 8.081
"LSSPA" "HiC_scaffold_3" 5266046 7.41 3.43 1389816 2.468
"LSSPA" "HiC_scaffold_3" 5289809 7.975 0.56 23763 23.566
"LSSPA" "HiC_scaffold_3" 5367966 7.975 0 78157 0
"LSSPA" "HiC_scaffold_3" 5505709 7.975 0 137743 0
"LSSPA" "HiC_scaffold_3" 5826322 9.689 1.71 320613 5.334
"LSSPA" "HiC_scaffold_3" 6360630 12.54 2.85 534308 5.334
"LSSPA" "HiC_scaffold_3" 6715234 13.105 0.57 354604 1.607
"LSSPA" "HiC_scaffold_3" 7148492 18.38 5.27 433258 12.164
"LSSPA" "HiC_scaffold_3" 7149544 18.945 0.57 1052 541.825
"LSSPA" "HiC_scaffold_3" 7555975 19.51 0.57 406431 1.402
"LSSPA" "HiC_scaffold_3" 9835263 20.646 1.14 2279288 0.5
"LSSPA" "HiC_scaffold_3" 9922294 20.646 0 87031 0
"LSSPA" "HiC_scaffold_3" 9951921 20.646 0 29627 0
"LSSPA" "HiC_scaffold_3" 9974538 20.646 0 22617 0
"LSSPA" "HiC_scaffold_3" 10071293 20.646 0 96755 0
"LSSPA" "HiC_scaffold_3" 10597398 22.36 1.71 526105 3.25
"LSSPA" "HiC_scaffold_3" 11520444 22.36 0 923046 0
"LSSPA" "HiC_scaffold_3" 11847877 24.075 1.71 327433 5.222
"LSSPA" "HiC_scaffold_3" 13141546 28.784 4.71 1293669 3.641
"LSSPA" "HiC_scaffold_3" 13158758 29.914 1.13 17212 65.652
"LSSPA" "HiC_scaffold_3" 13209194 30.479 0.56 50436 11.103
"LSSPA" "HiC_scaffold_3" 13416813 32.174 1.7 207619 8.188
"LSSPA" "HiC_scaffold_3" 13422905 34.473 2.3 6092 377.544
"LSSPA" "HiC_scaffold_3" 13574628 34.473 0 151723 0
"LSSPA" "HiC_scaffold_3" 13648381 34.473 0 73753 0
"LSSPA" "HiC_scaffold_3" 14651678 34.473 0 1003297 0
"LSSPA" "HiC_scaffold_3" 14981941 34.473 0 330263 0
"LSSPA" "HiC_scaffold_3" 15601288 40.433 5.96 619347 9.623
"LSSPA" "HiC_scaffold_3" 15843470 40.433 0 242182 0
"LSSPA" "HiC_scaffold_3" 15966860 41.569 1.14 123390 9.239
"LSSPA" "HiC_scaffold_3" 16084375 41.569 0 117515 0
"LSSPA" "HiC_scaffold_3" 16771652 44.46 2.89 687277 4.205
"LSSPA" "HiC_scaffold_3" 16873148 44.46 0 101496 0
"LSSPA" "HiC_scaffold_3" 17312625 45.597 1.14 439477 2.594
"LSSPA" "HiC_scaffold_3" 17651953 48.488 2.89 339328 8.517
"LSSPA" "HiC_scaffold_3" 18232979 49.937 1.45 581026 2.496
"LSSPA" "HiC_scaffold_3" 18729329 55.205 5.27 496350 10.618
"LSSPA" "HiC_scaffold_3" 19441524 56.654 1.45 712195 2.036
"LSSPA" "HiC_scaffold_3" 19750154 58.104 1.45 308630 4.698
"LSSPA" "HiC_scaffold_3" 19891710 58.104 0 141556 0
"LSSPA" "HiC_scaffold_3" 21176069 58.104 0 1284359 0
"LSSPA" "HiC_scaffold_3" 21506539 59.553 1.45 330470 4.388
"LSSPA" "HiC_scaffold_3" 21965763 60.273 0.72 459224 1.568
"LSSPA" "HiC_scaffold_3" 23851709 60.992 0.72 1885946 0.382
"LSSPA" "HiC_scaffold_4" 950063 0 NA NA NA
"LSSPA" "HiC_scaffold_4" 1423268 0 0 473205 0
"LSSPA" "HiC_scaffold_4" 1561659 0 0 138391 0
"LSSPA" "HiC_scaffold_4" 1837210 0 0 275551 0
"LSSPA" "HiC_scaffold_4" 1858225 2.344 2.34 21015 111.349
"LSSPA" "HiC_scaffold_4" 2474537 2.344 0 616312 0
"LSSPA" "HiC_scaffold_4" 2564143 2.344 0 89606 0
"LSSPA" "HiC_scaffold_4" 2673175 2.344 0 109032 0
"LSSPA" "HiC_scaffold_4" 3238588 2.344 0 565413 0
"LSSPA" "HiC_scaffold_4" 3252667 4.059 1.72 14079 122.168
"LSSPA" "HiC_scaffold_4" 3450500 4.059 0 197833 0
"LSSPA" "HiC_scaffold_4" 3559407 4.624 0.56 108907 5.142
"LSSPA" "HiC_scaffold_4" 3931624 6.338 1.71 372217 4.594
"LSSPA" "HiC_scaffold_4" 4353610 6.338 0 421986 0
"LSSPA" "HiC_scaffold_4" 4576461 7.474 1.14 222851 5.116
"LSSPA" "HiC_scaffold_4" 4722972 7.474 0 146511 0
"LSSPA" "HiC_scaffold_4" 4851431 9.189 1.71 128459 13.312
"LSSPA" "HiC_scaffold_4" 5357241 15.713 6.52 505810 12.89
"LSSPA" "HiC_scaffold_4" 5403459 16.278 0.56 46218 12.116
"LSSPA" "HiC_scaffold_4" 6019982 16.843 0.57 616523 0.925
"LSSPA" "HiC_scaffold_4" 6201913 16.843 0 181931 0
"LSSPA" "HiC_scaffold_4" 6250392 19.143 2.3 48479 47.443
"LSSPA" "HiC_scaffold_4" 6349960 19.143 0 99568 0
"LSSPA" "HiC_scaffold_4" 6418881 21.422 2.28 68921 33.081
"LSSPA" "HiC_scaffold_4" 6733886 21.422 0 315005 0
"LSSPA" "HiC_scaffold_4" 6811831 21.987 0.56 77945 7.185
"LSSPA" "HiC_scaffold_4" 7519047 24.878 2.89 707216 4.086
"LSSPA" "HiC_scaffold_4" 8116217 25.443 0.57 597170 0.955
"LSSPA" "HiC_scaffold_4" 8125363 26.573 1.13 9146 123.551
"LSSPA" "HiC_scaffold_4" 8886429 30.587 4.01 761066 5.269
"LSSPA" "HiC_scaffold_4" 9206906 31.152 0.57 320477 1.779
"LSSPA" "HiC_scaffold_4" 9270853 32.282 1.13 63947 17.671
"LSSPA" "HiC_scaffold_4" 9366457 34.554 2.27 95604 23.744
"LSSPA" "HiC_scaffold_4" 10039256 36.269 1.71 672799 2.542
"LSSPA" "HiC_scaffold_4" 10358568 36.269 0 319312 0
"LSSPA" "HiC_scaffold_4" 10707493 38.548 2.28 348925 6.534
"LSSPA" "HiC_scaffold_4" 10725841 39.113 0.56 18348 30.521
"LSSPA" "HiC_scaffold_4" 10773978 39.678 0.56 48137 11.633
"LSSPA" "HiC_scaffold_4" 11037996 39.678 0 264018 0
"LSSPA" "HiC_scaffold_4" 12423955 39.678 0 1385959 0
"LSSPA" "HiC_scaffold_4" 13123406 41.393 1.72 699451 2.459
"LSSPA" "HiC_scaffold_4" 13390064 41.393 0 266658 0
"LSSPA" "HiC_scaffold_4" 13749012 41.393 0 358948 0
"LSSPA" "HiC_scaffold_4" 14190115 41.958 0.56 441103 1.27
"LSSPA" "HiC_scaffold_4" 14379136 41.958 0 189021 0
"LSSPA" "HiC_scaffold_4" 14841622 45.985 4.03 462486 8.714
"LSSPA" "HiC_scaffold_4" 15158018 45.985 0 316396 0
"LSSPA" "HiC_scaffold_4" 15373832 52.822 6.84 215814 31.694
"LSSPA" "HiC_scaffold_4" 15757014 52.822 0 383182 0
"LSSPA" "HiC_scaffold_4" 16628655 52.822 0 871641 0
"LSSPA" "HiC_scaffold_4" 17623725 52.822 0 995070 0
"LSSPA" "HiC_scaffold_5" 109690 0 NA NA NA
"LSSPA" "HiC_scaffold_5" 330192 0 0 220502 0
"LSSPA" "HiC_scaffold_5" 520319 0 0 190127 0
"LSSPA" "HiC_scaffold_5" 580334 8.998 9 60015 149.963
"LSSPA" "HiC_scaffold_5" 926153 8.998 0 345819 0
"LSSPA" "HiC_scaffold_5" 1316600 14.266 5.27 390447 13.497
"LSSPA" "HiC_scaffold_5" 1514372 17.756 3.49 197772 17.647
"LSSPA" "HiC_scaffold_5" 1581736 17.756 0 67364 0
"LSSPA" "HiC_scaffold_5" 1773411 18.321 0.57 191675 2.974
"LSSPA" "HiC_scaffold_5" 2697439 18.321 0 924028 0
"LSSPA" "HiC_scaffold_5" 2749933 18.321 0 52494 0
"LSSPA" "HiC_scaffold_5" 2765504 19.457 1.14 15571 73.213
"LSSPA" "HiC_scaffold_5" 2944895 20.022 0.56 179391 3.122
"LSSPA" "HiC_scaffold_5" 3184372 20.022 0 239477 0
"LSSPA" "HiC_scaffold_5" 3474868 20.022 0 290496 0
"LSSPA" "HiC_scaffold_5" 4379823 21.724 1.7 904955 1.879
"LSSPA" "HiC_scaffold_5" 4559885 22.288 0.56 180062 3.11
"LSSPA" "HiC_scaffold_5" 4573536 22.288 0 13651 0
"LSSPA" "HiC_scaffold_5" 4573884 22.288 0 348 0
"LSSPA" "HiC_scaffold_5" 4603541 28.248 5.96 29657 200.964
"LSSPA" "HiC_scaffold_5" 5220665 28.248 0 617124 0
"LSSPA" "HiC_scaffold_5" 5309239 28.248 0 88574 0
"LSSPA" "HiC_scaffold_5" 5388217 28.248 0 78978 0
"LSSPA" "HiC_scaffold_5" 6484422 28.248 0 1096205 0
"LSSPA" "HiC_scaffold_5" 6570493 28.248 0 86071 0
"LSSPA" "HiC_scaffold_5" 6728623 28.248 0 158130 0
"LSSPA" "HiC_scaffold_5" 6777863 28.248 0 49240 0
"LSSPA" "HiC_scaffold_5" 7360431 28.248 0 582568 0
"LSSPA" "HiC_scaffold_5" 7895093 28.248 0 534662 0
"LSSPA" "HiC_scaffold_5" 8172998 28.248 0 277905 0
"LSSPA" "HiC_scaffold_5" 8173329 28.813 0.56 331 1691.843
"LSSPA" "HiC_scaffold_5" 8519947 31.112 2.3 346618 6.636
"LSSPA" "HiC_scaffold_5" 8593927 31.677 0.57 73980 7.705
"LSSPA" "HiC_scaffold_5" 8594259 31.677 0 332 0
"LSSPA" "HiC_scaffold_5" 8619504 31.677 0 25245 0
"LSSPA" "HiC_scaffold_5" 8869455 31.677 0 249951 0
"LSSPA" "HiC_scaffold_5" 9674879 36.952 5.27 805424 6.543
"LSSPA" "HiC_scaffold_5" 10254124 38.088 1.14 579245 1.968
"LSSPA" "HiC_scaffold_5" 11164868 45.249 7.16 910744 7.862
"LSSPA" "HiC_scaffold_5" 11274190 46.951 1.7 109322 15.55
"LSSPA" "HiC_scaffold_5" 11989364 48.087 1.14 715174 1.594
"LSSPA" "HiC_scaffold_5" 12368902 48.652 0.56 379538 1.475
"LSSPA" "HiC_scaffold_5" 12502006 49.217 0.56 133104 4.207
"LSSPA" "HiC_scaffold_5" 12584679 53.272 4.06 82673 49.109
"LSSPA" "HiC_scaffold_5" 12754028 55.571 2.3 169349 13.581
"LSSPA" "HiC_scaffold_5" 12866455 56.136 0.57 112427 5.07
"LSSPA" "HiC_scaffold_5" 13121094 56.701 0.56 254639 2.199
"LSSPA" "HiC_scaffold_5" 13755789 57.837 1.14 634695 1.796
"LSSPA" "HiC_scaffold_5" 14387610 57.837 0 631821 0
"LSSPA" "HiC_scaffold_6" 120076 0 NA NA NA
"LSSPA" "HiC_scaffold_6" 768073 0 0 647997 0
"LSSPA" "HiC_scaffold_6" 1639004 0 0 870931 0
"LSSPA" "HiC_scaffold_6" 2026545 2.027 2.03 387541 5.238
"LSSPA" "HiC_scaffold_6" 2148493 2.027 0 121948 0
"LSSPA" "HiC_scaffold_6" 2247765 2.027 0 99272 0
"LSSPA" "HiC_scaffold_6" 2322929 2.694 0.67 75164 8.914
