marker_nr male_position scaffold position lg
281 0.000 2 1299831 5
287 0.719 2 1448969 5
288 0.719 2 1487884 5
289 0.719 2 1522216 5
292 0.719 2 1575127 5
294 0.719 2 2084982 5
297 0.719 2 2273190 5
301 0.719 2 2379117 5
305 1.275 2 2579172 5
310 1.831 2 3007012 5
316 1.831 2 3337790 5
326 2.386 2 4425089 5
328 2.942 2 4951883 5
331 5.783 2 5740494 5
340 5.783 2 6233775 5
342 6.339 2 6284067 5
343 6.339 2 6644947 5
355 8.024 2 6946817 5
367 9.142 2 7652661 5
372 9.142 2 7774097 5
376 10.259 2 9147686 5
379 10.259 2 9287836 5
380 11.377 2 9353948 5
382 12.494 2 9726028 5
387 12.494 2 10023664 5
390 13.049 2 10110232 5
392 13.049 2 10138497 5
397 13.049 2 10183501 5
399 14.735 2 10192946 5
407 14.735 2 10341194 5
409 14.735 2 10439149 5
418 14.735 2 11640974 5
433 15.291 2 11818524 5
439 15.846 2 11967963 5
442 15.846 2 11976545 5
466 15.846 2 12250696 5
469 15.846 2 12255371 5
470 15.846 2 12339409 5
472 16.964 2 12383287 5
477 16.964 2 12692860 5
488 16.964 2 12756535 5
489 17.519 2 12804294 5
492 17.519 2 13008085 5
495 17.519 2 13021882 5
499 17.519 2 13080154 5
500 17.519 2 13124724 5
503 18.075 2 13223056 5
505 18.075 2 13350744 5
506 19.760 2 13801375 5
510 19.760 2 14040791 5
516 20.316 2 14431486 5
519 20.316 2 14447088 5
525 21.433 2 14610547 5
529 21.989 2 14816190 5
531 21.989 2 15049160 5
533 23.106 2 15562913 5
536 23.106 2 15867095 5
551 23.106 2 16284657 5
555 23.662 2 16344988 5
556 25.347 2 16417247 5
560 30.585 2 17312219 5
564 30.585 2 18251997 5
566 30.585 2 18768220 5
571 30.585 2 19595224 5
572 32.270 2 19676760 5
574 33.387 2 19864748 5
579 33.387 2 20637640 5
584 33.387 2 20904392 5
587 35.073 2 21209453 5
592 35.073 2 21667972 5
594 35.629 2 21834994 5
598 35.629 2 22566152 5
601 35.629 2 22656407 5
603 35.629 2 22893364 5
617 36.184 2 22943189 5
628 48.671 2 22957021 5
631 48.671 2 23029020 5
633 48.671 2 23497749 5
637 51.513 2 23603869 5
642 52.068 2 25250088 5
643 52.068 2 25307637 5
650 54.910 2 25811183 5
664 57.752 2 27283656 5
667 57.752 2 27317949 5
676 57.752 2 28502617 5
679 57.752 2 28508573 5
684 58.307 2 28564923 5
689 58.307 2 28969975 5
691 58.307 2 29007175 5
697 58.307 2 29440881 5
702 58.307 2 29949356 5
706 59.993 2 30040177 5
707 59.993 2 30153896 5
710 59.993 2 30437400 5
715 59.993 2 30767361 5
721 59.993 2 30785631 5
724 59.993 2 31167270 5
730 59.993 2 31692063 5
737 59.993 2 32232041 5
3324 0.000 11 393182 6
3326 0.000 11 596532 6
3330 0.000 11 770544 6
3336 0.000 11 1056990 6
3342 0.000 11 1406209 6
3347 0.000 11 1676483 6
3350 0.000 11 1693871 6
3354 0.000 11 1735564 6
3357 0.000 11 1919324 6
3361 0.000 11 2929894 6
3362 0.000 11 2955334 6
3363 0.000 11 3045350 6
3373 8.548 11 3065870 6
3376 8.548 11 3239867 6
3378 8.548 11 3364417 6
3381 8.548 11 3455741 6
3383 8.548 11 3766131 6
3385 8.548 11 4442003 6
3389 9.665 11 5656513 6
3392 10.221 11 5873945 6
3393 10.221 11 6383716 6
3397 10.221 11 6665133 6
3404 10.221 11 6785798 6
3407 10.776 11 6946404 6
3420 10.776 11 7722393 6
3424 10.776 11 7803281 6
3428 11.332 11 7862539 6
3432 19.086 11 8559818 6
3434 19.641 11 8728942 6
3436 19.641 11 8972065 6
3438 20.197 11 9212296 6
3444 20.197 11 9989562 6
3452 20.197 11 11240152 6
3460 20.197 11 11946779 6
3463 21.314 11 12311487 6
3467 21.314 11 12367682 6
3490 21.314 11 12801444 6
3492 21.870 11 13119346 6
3501 21.870 11 13216066 6
3504 22.987 11 13365271 6
3506 22.987 11 13564890 6
3512 23.543 11 13703082 6
3518 24.098 11 14536426 6
3527 25.784 11 15278713 6
3531 26.901 11 15738369 6
3533 26.901 11 15981589 6
3536 26.901 11 16236674 6
3539 26.901 11 16290080 6
3542 26.901 11 16845671 6
3547 27.457 11 16892374 6
3555 28.012 11 17447281 6
3556 29.129 11 17935191 6
3559 30.815 11 17998882 6
3562 30.815 11 18159282 6
3567 31.371 11 18270267 6
3568 31.371 11 18931725 6
3572 31.926 11 19634995 6
3573 33.044 11 20134230 6
3581 33.044 11 20513737 6
3584 33.044 11 21316276 6
3586 33.044 11 21316607 6
3588 33.044 11 21333984 6
3591 33.044 11 21389170 6
3594 33.044 11 21494349 6
3596 33.044 11 21734699 6
3599 33.044 11 22266874 6
3601 33.044 11 22275893 6
3603 0.000 12 9763 7
3608 0.000 12 25336 7
3613 0.000 12 55185 7
3620 0.000 12 333926 7
3621 0.000 12 714831 7
3632 2.878 12 1005267 7
3634 2.878 12 1047650 7
3638 2.878 12 1681602 7
3639 2.878 12 1681906 7
3642 3.434 12 1997789 7
3652 4.551 12 2002146 7
3655 5.669 12 2331465 7
3657 5.669 12 2353177 7
3662 5.669 12 2407184 7
3666 6.224 12 2450714 7
3670 6.780 12 2818803 7
3673 7.335 12 3037929 7
3675 7.335 12 3199084 7
3682 7.335 12 3645587 7
3687 16.396 12 3973760 7
3697 16.952 12 4072448 7
3700 16.952 12 4494884 7
3709 18.637 12 4925915 7
3714 18.637 12 5947086 7
3718 18.637 12 5998384 7
3735 19.193 12 6144647 7
3737 19.193 12 7075543 7
3744 19.193 12 7459104 7
3754 19.749 12 8780381 7
3761 20.304 12 8789971 7
3763 21.990 12 9006972 7
3767 21.990 12 9184534 7
3770 21.990 12 9227481 7
3771 22.545 12 9911202 7
3775 22.545 12 10882765 7
3778 22.545 12 10905049 7
3780 24.231 12 10994985 7
3784 24.231 12 10996135 7
3785 24.231 12 11143272 7
3791 24.231 12 11148864 7
3792 24.231 12 11203445 7
3797 25.916 12 11374831 7
3800 28.177 12 11376447 7
3802 28.732 12 11462772 7
3804 28.732 12 11936287 7
3810 28.732 12 12382410 7
3814 30.418 12 12698918 7
3816 30.973 12 13453219 7
3818 30.973 12 13473898 7
3823 30.973 12 13493723 7
3824 32.659 12 13553153 7
3826 32.659 12 13680542 7
3833 33.776 12 14192965 7
3835 36.036 12 14372040 7
3856 36.036 12 14512317 7
3858 36.036 12 14523744 7
3860 36.036 12 14646479 7
3866 36.036 12 15453668 7
3873 36.592 12 16964361 7
3874 36.592 12 17017829 7
3879 36.592 12 17165529 7
3880 36.592 12 17306645 7
3887 37.709 12 17502700 7
3888 38.265 12 17516508 7
3889 38.265 12 17530445 7
3895 38.265 12 17847228 7
3898 38.265 12 18117014 7
3901 40.265 12 18602932 7
3911 40.265 12 19278452 7
3915 40.265 12 19303938 7
3920 40.923 12 19457027 7
3923 40.923 12 19472365 7
3927 41.581 12 19904520 7
3933 41.581 12 20096951 7
3943 42.571 12 20189837 7
3953 42.571 12 20757883 7
3959 42.571 12 21724482 7
2711 0.000 9 198615 8
2713 0.000 9 487922 8
2716 0.000 9 495919 8
2718 2.363 9 1662962 8
2727 2.363 9 2308480 8
2739 2.363 9 2605603 8
2751 2.363 9 4921772 8
2760 2.363 9 5237624 8
2764 2.363 9 5302124 8
2765 6.388 9 5424570 8
2769 9.229 9 6218494 8
2771 9.229 9 6218998 8
2772 9.229 9 6485961 8
2781 9.229 9 7339655 8
2787 10.915 9 7455663 8
2789 13.175 9 7730319 8
2790 13.175 9 7823014 8
2796 19.655 9 8523932 8
2799 26.135 9 9069630 8
2801 28.395 9 10836743 8
2813 28.395 9 11154975 8
2816 28.395 9 11317805 8
2821 34.249 9 13025657 8
2830 34.249 9 15530571 8
2837 34.805 9 15988505 8
2841 34.805 9 16027313 8
2843 34.805 9 16173370 8
2846 35.361 9 16367599 8
2847 35.361 9 16958550 8
2850 35.916 9 17207984 8
2854 35.916 9 17420309 8
2858 35.916 9 17432854 8
2864 38.758 9 17552062 8
2866 38.758 9 17595294 8
2869 38.758 9 17786542 8
2870 39.875 9 18072580 8
2875 39.875 9 18524871 8
2883 39.875 9 18587370 8
2888 44.044 9 19246217 8
2898 44.044 9 19694544 8
2907 44.044 9 20155132 8
2914 44.044 9 20184578 8
2928 44.715 9 20601350 8
2929 44.715 9 20601661 8
2932 44.715 9 20658461 8
2935 44.715 9 21112012 8
2936 44.715 9 21495497 8
2940 44.715 9 21716701 8
2949 44.715 9 23538173 8
2978 44.715 9 24739400 8
2979 0.000 10 314067 9
2980 0.000 10 351620 9
2981 0.000 10 412042 9
2985 0.000 10 782156 9
2988 0.000 10 829738 9
2991 0.000 10 972605 9
2995 0.000 10 1089043 9
3012 0.000 10 1142852 9
3015 0.000 10 1533918 9
3021 1.639 10 2159950 9
3036 1.639 10 2437393 9
3042 4.974 10 2699731 9
3045 5.787 10 2710650 9
3047 5.787 10 2724135 9
3050 5.787 10 2753154 9
3052 5.787 10 2802481 9
3069 5.787 10 3258799 9
3071 6.904 10 3448558 9
3072 8.590 10 3586326 9
3075 8.590 10 3646138 9
3076 8.590 10 3953569 9
3081 8.590 10 4156960 9
3083 8.590 10 4392721 9
3085 9.707 10 4448595 9
3094 14.335 10 5606702 9
3096 14.335 10 5736546 9
3100 14.891 10 5736893 9
3105 16.008 10 6132220 9
3106 16.008 10 6227080 9
3110 16.008 10 6505368 9
3112 16.008 10 6603002 9
3121 16.008 10 7795562 9
3125 16.008 10 8021027 9
3129 16.008 10 8033404 9
3134 17.693 10 8382253 9
3136 20.535 10 9334735 9
3137 20.535 10 9347786 9
3146 21.652 10 10171530 9
3149 22.208 10 10343493 9
3151 22.208 10 10836173 9
3156 23.894 10 11170193 9
3161 23.894 10 11273710 9
3162 24.449 10 11763112 9
3168 28.474 10 11872825 9
3172 28.474 10 12535658 9
3173 30.735 10 13570776 9
3179 30.735 10 13571093 9
3180 30.735 10 13883196 9
3181 30.735 10 14279613 9
3188 34.164 10 14304470 9
3193 34.720 10 14355444 9
3199 35.276 10 15046735 9
3201 35.276 10 15413602 9
3203 35.276 10 15854842 9
3216 36.961 10 16050035 9
3218 36.961 10 16351006 9
3219 36.961 10 16351328 9
3222 36.961 10 16517076 9
3223 36.961 10 16648551 9
3225 36.961 10 16729166 9
3230 36.961 10 17028005 9
3232 37.517 10 17413044 9
3236 37.517 10 17574018 9
3240 37.517 10 17957691 9
3243 39.202 10 18511238 9
3250 39.202 10 18671089 9
3253 40.320 10 18702392 9
3254 40.320 10 18758704 9
3255 40.320 10 18810058 9
3260 40.320 10 19003322 9
3262 40.875 10 19222074 9
3271 40.875 10 19448991 9
3272 40.875 10 19552284 9
3275 41.993 10 19748984 9
3277 41.993 10 19767818 9
3280 41.993 10 19776055 9
3290 41.993 10 19947208 9
3294 44.253 10 20409743 9
3299 45.370 10 20442080 9
3300 45.370 10 20611538 9
3303 45.370 10 20778493 9
3306 45.370 10 21590033 9
3309 45.370 10 21795415 9
3311 45.926 10 22540637 9
3316 45.926 10 23033659 9
3317 45.926 10 23161255 9
3318 45.926 10 23460682 9
3319 45.926 10 23654162 9
6891 0.000 24 507766 10
6894 0.000 24 508348 10
6903 0.000 24 958807 10
6905 0.000 24 974276 10
6912 3.335 24 1186751 10
6915 3.335 24 1577788 10
6918 3.335 24 1690637 10
6922 3.335 24 2019744 10
6924 3.335 24 2237883 10
6929 3.335 24 2402873 10
6933 3.335 24 2438181 10
6936 4.148 24 2883439 10
6938 4.148 24 3015451 10
6944 4.148 24 3464625 10
6949 4.148 24 4021216 10
6959 7.482 24 4392546 10
6965 13.472 24 4446545 10
6971 13.472 24 5255674 10
6975 14.028 24 5923626 10
6976 14.583 24 6061141 10
6978 14.583 24 6144479 10
6979 14.583 24 6280624 10
6982 14.583 24 6322813 10
6989 22.337 24 6568175 10
6993 22.337 24 6945855 10
6995 24.597 24 7042880 10
6999 25.153 24 7047078 10
7014 26.838 24 7474893 10
7017 30.863 24 7693489 10
7018 31.981 24 8105520 10
7033 31.981 24 8386981 10
7048 31.981 24 10210220 10
7059 31.981 24 10419887 10
7062 31.981 24 10520812 10
7063 31.981 24 10531118 10
7067 31.981 24 10531479 10
7068 31.981 24 10949329 10
7072 31.981 24 10975347 10
7076 31.981 24 11234750 10
7079 31.981 24 11235093 10
7084 33.666 24 11870418 10
7090 33.666 24 12323902 10
7092 33.666 24 12542748 10
7094 33.666 24 12543098 10
7098 33.666 24 12645048 10
7101 33.666 24 12720510 10
7112 33.666 24 13210292 10
7113 33.666 24 13240068 10
7114 33.666 24 13277758 10
4337 0.000 14 846332 11
4347 0.000 14 1645617 11
4351 0.000 14 2492926 11
4354 0.000 14 2497433 11
4359 0.000 14 3068356 11
4364 2.522 14 3075343 11
4367 2.522 14 3399173 11
4372 3.348 14 3583179 11
4376 3.348 14 3590649 11
4379 4.699 14 3824085 11
4381 4.699 14 3851631 11
4385 4.699 14 4701976 11
4391 4.699 14 5284248 11
4393 9.937 14 5463627 11
4401 9.937 14 5488891 11
4407 11.622 14 5957612 11
4408 11.622 14 6008592 11
4411 11.622 14 6184295 11
4426 11.622 14 7767988 11
4431 12.740 14 7805414 11
4434 12.740 14 8202673 11
4453 12.740 14 9172990 11
4454 14.425 14 9595484 11
4455 14.425 14 9725317 11
4456 14.981 14 10192780 11
4458 16.098 14 10356219 11
4463 16.098 14 10377662 11
4464 16.098 14 10754426 11
4474 17.216 14 11137219 11
4480 17.216 14 11221637 11
4484 17.771 14 11460868 11
4488 17.771 14 11534061 11
4493 18.327 14 11789248 11
4494 20.012 14 11793031 11
4507 21.698 14 12606693 11
4511 22.253 14 12706458 11
4516 23.371 14 13114308 11
4521 29.225 14 13206540 11
4526 32.067 14 13662774 11
4529 32.067 14 13982543 11
4536 34.327 14 14062963 11
4538 37.169 14 14656093 11
4544 38.286 14 14983628 11
4549 38.286 14 15025672 11
4562 38.286 14 15868891 11
4569 38.286 14 16017624 11
4570 38.286 14 16124979 11
4573 38.286 14 16259699 11
4583 38.286 14 16833804 11
4589 38.286 14 17230702 11
4590 38.286 14 17708623 11
4592 38.286 14 19204163 11
4603 38.286 14 20875428 11
2066 0.000 7 456352 12
2072 0.000 7 1528844 12
2078 0.000 7 1702613 12
2080 0.000 7 2362689 12
2082 0.000 7 2748261 12
2083 0.000 7 2808106 12
2085 3.031 7 2995400 12
2093 3.031 7 3519988 12
2094 4.149 7 3557790 12
2100 4.149 7 3850264 12
2101 4.149 7 4046305 12
2104 4.149 7 5796652 12
2109 4.704 7 6104062 12
2110 4.704 7 6239807 12
2113 8.134 7 6547611 12
2116 8.690 7 6928631 12
2123 8.690 7 7116623 12
2134 8.690 7 7150807 12
2142 9.245 7 7343119 12
2146 9.245 7 7445606 12
2152 9.245 7 7734915 12
2154 9.245 7 7860880 12
2166 9.245 7 8151535 12
2168 9.245 7 8496053 12
2175 9.801 7 8564205 12
2176 10.356 7 8674271 12
2180 10.356 7 8781873 12
2184 10.356 7 8955508 12
2186 10.356 7 8960320 12
2194 10.356 7 9929480 12
2199 10.912 7 10096801 12
2201 11.467 7 10104940 12
2208 11.467 7 11416425 12
2217 11.467 7 12307844 12
2222 11.467 7 12437175 12
2225 11.467 7 12912000 12
2229 11.467 7 13046717 12
2236 13.728 7 13168480 12
2240 13.728 7 13272141 12
2250 13.728 7 13871699 12
2253 14.845 7 14406248 12
2257 15.962 7 14739761 12
2262 15.962 7 14762581 12
2265 15.962 7 15671422 12
2273 20.590 7 15846105 12
2274 21.146 7 16149106 12
2282 21.146 7 16423035 12
2284 21.146 7 16911918 12
2287 21.146 7 17157616 12
2290 22.263 7 17770041 12
2292 22.819 7 18085458 12
2294 26.248 7 18363034 12
2302 26.804 7 18834590 12
2306 27.360 7 18945990 12
2308 29.045 7 19310936 12
2313 30.731 7 20237788 12
2315 30.731 7 20255783 12
2317 30.731 7 20828671 12
2327 30.731 7 21386895 12
2335 31.848 7 21448255 12
2337 32.404 7 22016561 12
2342 32.404 7 22031238 12
2349 32.404 7 22218408 12
2355 32.404 7 22271957 12
2360 32.404 7 22504925 12
2369 32.404 7 22792261 12
2372 32.404 7 22792617 12
2373 32.404 7 23041966 12
2375 32.959 7 23145718 12
2378 32.959 7 23658725 12
2388 32.959 7 23673412 12
2391 32.959 7 23945121 12
2395 32.959 7 24081132 12
2396 34.599 7 24140573 12
2397 34.599 7 24245487 12
2400 34.599 7 24290964 12
2404 34.599 7 24455997 12
2409 34.599 7 24689207 12
2412 34.599 7 25244422 12
5981 0.000 20 207041 13
5987 0.000 20 728783 13
5992 0.000 20 1352817 13
5994 2.041 20 1547961 13
5997 2.041 20 1548343 13
6004 2.041 20 2964211 13
6006 3.893 20 3342445 13
6007 3.893 20 3364397 13
6013 3.893 20 3380666 13
6017 5.745 20 4277293 13
6020 6.663 20 4517280 13
6022 8.515 20 4725383 13
6030 9.432 20 4732226 13
6042 13.636 20 4829832 13
6049 13.636 20 5070039 13
6050 16.478 20 5166275 13
6059 16.478 20 6530846 13
6067 16.478 20 6774312 13
6079 16.478 20 7259917 13
6081 16.478 20 7560823 13
6083 16.478 20 7571250 13
6089 18.738 20 7672754 13
6090 18.738 20 7683578 13
6094 19.294 20 8087806 13
6096 19.849 20 8130833 13
6106 20.405 20 8466654 13
6111 23.835 20 8634106 13
6124 24.952 20 9053214 13
6125 24.952 20 9229574 13
6131 24.952 20 9256655 13
6144 27.213 20 9492466 13
6145 29.473 20 9654660 13
6147 29.473 20 9885198 13
6156 29.473 20 10231660 13
6160 31.158 20 10329858 13
6170 33.419 20 11180837 13
6179 37.444 20 12049010 13
6180 37.444 20 12257789 13
6181 37.999 20 12350684 13
6192 37.999 20 12568398 13
6197 38.555 20 13019650 13
6200 38.555 20 13020183 13
6201 38.555 20 13265091 13
6214 39.110 20 13491889 13
6230 39.666 20 14192535 13
6233 39.666 20 14219602 13
6235 39.666 20 14636846 13
6236 39.666 20 14886953 13
6238 39.666 20 15216985 13
6239 39.666 20 15320943 13
6240 39.666 20 15422141 13
6254 39.666 20 15893226 13
4605 0.000 15 432172 14
4609 0.000 15 1175269 14
4610 0.000 15 1185401 14
4614 0.826 15 2531222 14
4617 1.653 15 2785884 14
4618 1.653 15 2874559 14
4622 1.653 15 3593033 14
4633 1.653 15 3598896 14
4635 1.653 15 3979039 14
4640 1.653 15 4137834 14
4643 1.653 15 4205222 14
4656 2.311 15 4280042 14
4657 2.311 15 4331665 14
4658 2.311 15 4424943 14
4664 2.866 15 4532063 14
4665 2.866 15 4534665 14
4667 2.866 15 4797177 14
4683 2.866 15 5369880 14
4687 2.866 15 5465018 14
4690 3.984 15 5498218 14
4691 5.101 15 5642198 14
4693 5.101 15 5642542 14
4700 5.101 15 5969193 14
4706 7.361 15 6427841 14
4708 7.361 15 6895958 14
4711 7.361 15 7075936 14
4718 11.387 15 7256856 14
4721 11.387 15 7644787 14
4728 11.387 15 8065536 14
4739 13.647 15 9247172 14
